workerid,face_dft,condition,rating,dft
anon7,30,trustworthy,7.66666666666667,30
anon7,40,trustworthy,5.66666666666667,40
anon7,50,trustworthy,6.66666666666667,50
anon7,60,trustworthy,5,60
anon7,70,trustworthy,6.33333333333333,70
anon7,80,trustworthy,5,80
anon7,90,trustworthy,5.33333333333333,90
anon7,100,trustworthy,4,100
anon70,0,attractive,9,0
anon70,10,attractive,8.33333333333333,10
anon70,20,attractive,8.66666666666667,20
anon70,30,attractive,8.66666666666667,30
anon70,40,attractive,9,40
anon70,50,attractive,9,50
anon70,60,attractive,9,60
anon70,70,attractive,9,70
anon70,80,attractive,8.66666666666667,80
anon70,90,attractive,8.66666666666667,90
anon70,100,attractive,8.33333333333333,100
anon71,0,trustworthy,3.66666666666667,0
anon71,10,trustworthy,3.66666666666667,10
anon71,20,trustworthy,5,20
